course_id,course_code,course_name,credit,theory_hours,practice_hours,course_description,source_url
63,KY747,중국사의이해,3.0,3.0,0.0,교내온라인,https://sugang.hs.ac.kr/course/subject/list
64,KY963,예술로말하기1,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
65,KY844,중국어회화Ⅰ,2.0,2.0,0.0,"중국어문화콘텐츠전공(중국어문화영상융합포함), 중국학전공 2학년 이상 학생 수강 금지.",https://sugang.hs.ac.kr/course/subject/list
66,KY983,시사영어,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
67,*KY044,응급처치와생존수영,2.0,2.0,0.0,집중이수제과목 / 외국인학생 전용강의 / 신설(2024.11.27),https://sugang.hs.ac.kr/course/subject/list
68,KY840,한문Ⅰ,2.0,2.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
69,KY309,생활속의실용금융,3.0,3.0,0.0,학생 전원 교재 지급,https://sugang.hs.ac.kr/course/subject/list
70,KY796,"식품,건강,사회",3.0,3.0,0.0,LMS 온라인강의,https://sugang.hs.ac.kr/course/subject/list
71,KYD13,사진과평화감수성,3.0,3.0,0.0,신설(25.06),https://sugang.hs.ac.kr/course/subject/list
72,KYD05,AI시대창의성과브랜딩,3.0,3.0,0.0,신설(2024.11.27),https://sugang.hs.ac.kr/course/subject/list
73,KYD17,"K브랜드,그들은 어떻게 세상을 바꾸었나",3.0,3.0,0.0,교내온라인/혁신지원사업 신설(25.11.27),https://sugang.hs.ac.kr/course/subject/list
74,KYC64,발표하기와토론하기,3.0,3.0,0.0,교내온라인수업,https://sugang.hs.ac.kr/course/subject/list
75,KYD07,쟁점으로본한국근현대사,3.0,3.0,0.0,구)쟁점으로본한국현대사,https://sugang.hs.ac.kr/course/subject/list
76,KYD19,슬기로운직업생활과법,3.0,3.0,0.0,신설(25.11.27),https://sugang.hs.ac.kr/course/subject/list
77,KYD20,피클볼,3.0,3.0,0.0,"신설(25.11) 특수체육학 전공생 수강금지(특수체육계열 1학년은 수강가능), 이론수업 시 10201호 수업",https://sugang.hs.ac.kr/course/subject/list
78,*KY043,외국인을위한한국세계유산탐방,3.0,3.0,0.0,외국인학생 전용강의 / 신설(2024.11.27),https://sugang.hs.ac.kr/course/subject/list
79,KYC36,Feel Free to Speak,2.0,2.0,0.0,교내온라인 수업 /P/NP,https://sugang.hs.ac.kr/course/subject/list
80,KYC69,실용영어,3.0,3.0,0.0,전학년 수강가능/구)비즈니스영어/구)실용영어연습,https://sugang.hs.ac.kr/course/subject/list
81,KYD09,우주의기원과진화,3.0,3.0,0.0,구)우주의한마을:지구의이해,https://sugang.hs.ac.kr/course/subject/list
82,KYD04,신체활동과긍정적인자아정체성,3.0,3.0,0.0,신설(2024.11.27),https://sugang.hs.ac.kr/course/subject/list
83,KYD18,한류드라마로본한국기독교의 이해,3.0,3.0,0.0,교내온라인/혁신지원사업 신설(25.11.27),https://sugang.hs.ac.kr/course/subject/list
84,KYC31,빅데이터분석실습,3.0,3.0,0.0,[빅데이터분석] 마이크로전공,https://sugang.hs.ac.kr/course/subject/list
85,KYC21,오르간연주법1,2.0,2.0,0.0,교목실 교양과목,https://sugang.hs.ac.kr/course/subject/list
86,KY967,명화의사회사,3.0,3.0,0.0,교내온라인 강좌,https://sugang.hs.ac.kr/course/subject/list
87,KYC82,음악의이해와기악실습,2.0,2.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
88,KYC46,국제개발협력과글로벌이슈,3.0,3.0,0.0,국제관계학(글로벌인재학) 전공학생 수강불가,https://sugang.hs.ac.kr/course/subject/list
89,KY472,생활법률,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
90,KY952,한국미술의감상과이해,3.0,3.0,0.0,교내 온라인 강좌,https://sugang.hs.ac.kr/course/subject/list
91,KYA70,감정수업:침묵과말,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
92,KY756,현대사회와윤리,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
93,KYA69,연기예술1:행동,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
94,KYC85,우리가몰랐던동남아시아,3.0,3.0,0.0,교내온라인,https://sugang.hs.ac.kr/course/subject/list
95,KY241,노벨상으로보는과학의역사,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
96,KYA89,4차산업기술의이해와미래,3.0,3.0,0.0,블랜디드,https://sugang.hs.ac.kr/course/subject/list
97,KY734,영화입문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
98,KY554,e-비즈니스의이해,3.0,3.0,0.0,IT경영학과/e-비즈니스학과 수강불가,https://sugang.hs.ac.kr/course/subject/list
99,KY949,유럽속의독일문화,3.0,3.0,0.0,교내온라인,https://sugang.hs.ac.kr/course/subject/list
100,KYC94,문화유산으로만나는정조시대,3.0,3.0,0.0,구)18세기조선과정조의꿈 수강생 수강금지,https://sugang.hs.ac.kr/course/subject/list
101,KYC70,문화산업과콘텐츠,3.0,3.0,0.0,기존 '문화산업과대중문화' 수강생 수강불가 / 교내온라인,https://sugang.hs.ac.kr/course/subject/list
102,KY471,논리와비판적사고,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
103,KY876,노동과인간,3.0,3.0,0.0,외부지원사업교과목,https://sugang.hs.ac.kr/course/subject/list
104,KY842,중국어Ⅰ,2.0,2.0,0.0,중국어문화콘텐츠학 2학년 이상 수강 금지,https://sugang.hs.ac.kr/course/subject/list
105,KY991,기초영어회화1,2.0,2.0,0.0,영문과수강금지(1학년허용) / 수강인원 5명 이상 개설,https://sugang.hs.ac.kr/course/subject/list
106,KY898,재미있는광고이야기,3.0,3.0,0.0,교내온라인 / 미디어영상광고홍보학부 수강금지,https://sugang.hs.ac.kr/course/subject/list
107,KY419,현대사회와복지,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
108,KYC61,어서와한국은처음이지,3.0,3.0,0.0,일반 학생 수강 가능/외국인 대상 수업 아님,https://sugang.hs.ac.kr/course/subject/list
109,KYC63,책읽기와말하기,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
110,OC239,챗GPT의이해와활용,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
111,OC191,부동산의이해,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
112,OC160,식생활과건강,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
113,OC129,TED로배우는영화속바이오테크놀로지,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
114,KYC60,먼나라이웃나라,3.0,3.0,0.0,강의실 변경 20502>8110,https://sugang.hs.ac.kr/course/subject/list
115,OC244,뇌과학의탐험,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
116,*KY142,컴퓨터기초1,3.0,3.0,0.0,외국인학생 전용강의/신설(25.11.27),https://sugang.hs.ac.kr/course/subject/list
117,OC243,기후위기와미래사회,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
118,OC112,생활속의심리학,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
119,OC235,나를찾는행복레슨,3.0,3.0,0.0,"사이버대학교(OCU)강의/교양과목/별도수강료납부(24,000원)/학점교류 6학점까지 수강가능 // 외부온라인",https://sugang.hs.ac.kr/course/subject/list
120,*KY045,고급심화한국어문법1,3.0,3.0,0.0,"외국인학생 전용 강의 / TOPIK 4급 읽기,문법,쓰기",https://sugang.hs.ac.kr/course/subject/list
121,*KY046,고급심화한국어회화1,3.0,3.0,0.0,"외국인학생 전용강의 / TOPIK 4급 듣기, 말하기",https://sugang.hs.ac.kr/course/subject/list
