curriculum_course_id,curriculum_year,course_id,recommended_grade,semester,completion_type,is_required,note,program_id
277,2026,718,1,1학기,계열공통,False,,12
278,2026,693,1,2학기,계열공통,False,,12
279,2026,694,1,2학기,계열공통,False,,12
280,2026,699,1,2학기,계열공통,False,,12
281,2026,705,1,2학기,계열공통,False,,12
282,2026,708,1,2학기,계열공통,False,,12
283,2026,714,1,2학기,계열공통,False,,12
284,2026,695,2,1학기,계열공통,False,,12
285,2026,696,2,1학기,계열공통,False,,12
286,2026,700,2,1학기,계열공통,False,,12
287,2026,706,2,1학기,계열공통,False,,12
288,2026,709,2,1학기,계열공통,False,,12
289,2026,710,2,1학기,계열공통,False,,12
290,2026,697,2,2학기,계열공통,False,,12
291,2026,698,2,2학기,계열공통,False,,12
292,2026,701,2,2학기,계열공통,False,,12
293,2026,702,2,2학기,계열공통,False,,12
294,2026,703,2,2학기,계열공통,False,,12
295,2026,707,2,2학기,계열공통,False,,12
296,2026,711,3,1학기,전공필수,False,,12
297,2026,712,3,1학기,전공필수,False,,12
298,2026,724,3,1학기,전공선택,False,,12
299,2026,728,3,1학기,전공필수,False,,12
300,2026,732,3,1학기,전공선택,False,,12
301,2026,713,3,2학기,전공필수,False,,12
302,2026,723,3,2학기,전공필수,False,,12
303,2026,729,3,2학기,전공필수,False,,12
304,2026,733,4,1학기,전공선택,False,,12
305,2026,735,4,1학기,전공선택,False,,12
306,2026,753,4,1학기,전공필수,False,,12
307,2026,734,4,2학기,전공선택,False,,12
308,2026,736,4,2학기,전공선택,False,,12
309,2026,754,4,2학기,전공필수,False,,12
