schedule_id,offering_id,day_of_week,start_time,end_time,classroom
4175,3954,월,16:00:00,17:15:00,18521
4176,3954,수,17:30:00,18:45:00,18521
4177,3955,목,16:00:00,17:15:00,18314
4178,3955,목,17:30:00,18:45:00,18314
4179,3956,월,09:30:00,10:45:00,18425
4180,3956,수,11:00:00,12:15:00,18425
4181,3957,월,09:30:00,10:45:00,18424
4182,3957,수,11:00:00,12:15:00,18424
4183,3958,월,11:00:00,12:15:00,18422
4184,3958,수,09:30:00,10:45:00,18422
4185,3959,월,13:00:00,14:15:00,18312
4186,3959,수,13:00:00,14:15:00,18312
4187,3960,목,16:00:00,17:15:00,18419
4188,3960,목,17:30:00,18:45:00,18419
4189,3961,화,11:00:00,12:15:00,18422
4190,3961,목,09:30:00,10:45:00,18422
4191,3962,화,09:30:00,10:45:00,18312
4192,3962,목,11:00:00,12:15:00,18312
4193,3963,화,11:00:00,12:15:00,18312
4194,3963,목,09:30:00,10:45:00,18312
4195,3964,화,16:00:00,17:15:00,18312
4196,3964,화,17:30:00,18:45:00,18312
4197,3965,월,09:30:00,10:45:00,18422
4198,3965,수,11:00:00,12:15:00,18422
4199,3966,월,11:00:00,12:15:00,18424
4200,3966,수,09:30:00,10:45:00,18424
4201,3967,목,13:00:00,14:15:00,18422
4202,3967,목,14:30:00,15:45:00,18422
4203,3968,목,16:00:00,17:15:00,18422
4204,3968,목,17:30:00,18:45:00,18422
4205,3969,월,13:00:00,14:15:00,18314
4206,3969,수,13:00:00,14:15:00,18314
4207,3970,월,17:30:00,18:45:00,18521
4208,3970,수,16:00:00,17:15:00,18521
4209,3971,화,16:00:00,17:15:00,18314
4210,3971,화,17:30:00,18:45:00,18314
4211,3972,월,13:00:00,14:15:00,18420
4212,3972,수,13:00:00,14:15:00,18420
4213,3973,월,11:00:00,12:15:00,18312
4214,3973,수,09:30:00,10:45:00,18312
4215,3974,화,16:00:00,17:15:00,18308
4216,3974,화,17:30:00,18:45:00,18308
4217,3975,금,09:30:00,10:45:00,18424
4218,3975,금,11:00:00,12:15:00,18424
4219,3976,화,09:30:00,10:45:00,18308
4220,3976,목,11:00:00,12:15:00,18308
4221,3977,월,09:30:00,10:45:00,18211
4222,3977,수,11:00:00,12:15:00,18211
4223,3978,월,11:00:00,12:15:00,18211
4224,3978,수,09:30:00,10:45:00,18211
4225,3979,월,16:00:00,17:15:00,18424
4226,3979,수,17:30:00,18:45:00,18424
4227,3980,월,17:30:00,18:45:00,18422
4228,3980,수,16:00:00,17:15:00,18422
4229,3981,화,16:00:00,17:15:00,18422
4230,3981,화,17:30:00,18:45:00,18422
4231,3982,월,16:00:00,17:15:00,18312
4232,3982,수,17:30:00,18:45:00,18312
4233,3983,화,09:30:00,10:45:00,18519
4234,3983,목,11:00:00,12:15:00,18519
4235,3984,화,11:00:00,12:15:00,18519
4236,3984,목,09:30:00,10:45:00,18519
4237,3985,월,13:00:00,14:15:00,18422
4238,3985,수,13:00:00,14:15:00,18422
4239,3986,월,14:30:00,15:45:00,18422
4240,3986,수,14:30:00,15:45:00,18422
4241,3987,목,13:00:00,14:15:00,18424
4242,3987,목,14:30:00,15:45:00,18424
4243,3988,목,16:00:00,17:15:00,18424
4244,3988,목,17:30:00,18:45:00,18424
4245,3989,월,11:00:00,12:15:00,18314
4246,3989,수,09:30:00,10:45:00,18314
4247,3990,월,09:30:00,10:45:00,18314
4248,3990,수,11:00:00,12:15:00,18314
4249,3991,목,13:00:00,14:15:00,18312
4250,3991,목,14:30:00,15:45:00,18312
4251,3992,화,11:00:00,12:15:00,18314
4252,3992,목,09:30:00,10:45:00,18314
4253,3993,화,13:00:00,14:15:00,18312
4254,3993,화,14:30:00,15:45:00,18312
4255,3994,월,17:30:00,18:45:00,18314
4256,3994,수,16:00:00,17:15:00,18314
4257,3995,월,14:30:00,15:45:00,18312
4258,3995,수,14:30:00,15:45:00,18312
4259,3996,월,14:30:00,15:45:00,18521
4260,3996,수,14:30:00,15:45:00,18521
4261,3997,월,14:30:00,15:45:00,18314
4262,3997,수,14:30:00,15:45:00,18314
4263,3998,금,09:30:00,10:45:00,18314
4264,3998,금,11:00:00,12:15:00,18314
4265,3999,월,13:00:00,14:15:00,18419
4266,3999,수,13:00:00,14:15:00,18419
4267,4000,수,09:30:00,10:45:00,18208
4268,4000,수,11:00:00,12:15:00,18208
4269,4001,수,16:00:00,17:15:00,18208
4270,4001,수,17:30:00,18:45:00,18208
4271,4002,월,13:00:00,14:15:00,18208
4272,4002,월,14:30:00,15:45:00,18208
4273,4003,목,13:00:00,14:15:00,18212
4274,4003,목,14:30:00,15:45:00,18212
4275,4004,화,13:00:00,14:15:00,7104
4276,4005,목,13:00:00,14:15:00,18309
4277,4005,목,14:30:00,15:45:00,18309
4278,4006,월,13:00:00,14:15:00,18521
4279,4006,수,13:00:00,14:15:00,18521
4280,4007,월,17:30:00,18:45:00,18425
4281,4007,수,16:00:00,17:15:00,18425
4282,4008,월,14:30:00,15:45:00,18425
4283,4008,수,14:30:00,15:45:00,18425
4284,4009,월,11:00:00,12:15:00,18425
4285,4009,수,09:30:00,10:45:00,18425
4286,4010,월,13:00:00,14:15:00,18425
4287,4010,수,13:00:00,14:15:00,18425
4288,4011,화,14:30:00,15:45:00,18425
4289,4011,목,14:30:00,15:45:00,18425
4290,4012,월,16:00:00,17:15:00,7315
4291,4012,수,17:30:00,18:45:00,7315
4292,4013,월,17:30:00,18:45:00,7315
4293,4013,수,16:00:00,17:15:00,7315
